smiles,logP,qed,SAS,5*QED-SAS
CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1,2.1622,0.800069613,2.037915157,1.962432908
Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C,3.39202,0.329473892,2.622177707,-0.974808247
CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1,3.8036,0.788499105,2.940469367,1.002026158
CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F,2.2362,0.825487808,3.878253819,0.249185221
Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2,3.81104,0.69178968,2.545686177,0.913262223
O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1,1.419,0.658574943,3.194352211,0.098522504
O=c1n(CCO)c2ccccc2n1CCO,-0.2124,0.776598469,2.108634629,1.774357716
COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1,3.09442,0.710428909,2.308817193,1.243327352
Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C,2.69566,0.909748572,2.595621197,1.953121663
CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1,1.4169,0.751938376,2.906806565,0.852885315
CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O,4.5958,0.663239457,3.198361245,0.11783604
N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12,3.26928,0.919377069,3.918602176,0.678283169
Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12,1.79382,0.934718059,3.449086114,1.224504181
CNC(=O)c1ccc(/C=C/C(=O)Nc2c(C)cc(C)nc2Cl)cc1,3.36334,0.647652521,2.239471965,0.99879064
CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1,3.4512,0.81955662,3.350933314,0.746849786
C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1,3.7738,0.622224146,2.257847866,0.853272864
CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1,3.55962,0.676122711,2.398371955,0.9822416
CCOC(=O)c1nnc2ccccc2c1N1CC[C@@H]([NH+](CC)CC)C1,1.3099,0.810674073,3.889839681,0.163530684
Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1,2.9175,0.87834803,2.458668205,1.933071945
O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1,3.7472,0.773968195,2.933867493,0.935973482
CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C,0.66112,0.820213965,4.591978373,-0.490908548
O=C(NCc1nccc2ccccc12)c1ccc[nH]c1=O,1.8531,0.773066838,2.158780064,1.706554126
CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1,2.4523,0.79931282,2.276808227,1.719755873
O=[N+]([O-])c1c(Nc2cccc3ncccc23)ncnc1N1CCN(c2cccc(Cl)c2)CC1,4.6566,0.323171171,2.399710276,-0.783854421
O=C(CCCO)Nc1ccc(F)cc1F,1.6758,0.808810117,1.72803068,2.316019905
NC(=O)CCOc1ccc(NC(=O)C[C@H]2CCc3ccccc32)cc1,2.9994,0.805668066,2.459113922,1.569226408
COc1cc(C)ccc1OCC(=O)Nc1nnc(C)s1,2.18104,0.917216911,1.912049037,2.674035518
CC(=O)c1c(O)cccc1COc1ccccc1,3.1738,0.825498391,1.810419951,2.317072004
CCn1cc(S(=O)(=O)N2CCCCC[C@@H]2c2cc(-c3ccc(F)cc3)no2)cn1,4.0031,0.603371328,3.001570217,0.015286423
COC(=O)[C@](NC(=O)c1cccc(Cl)c1)(Nc1ccc(Br)c[nH+]1)C(F)(F)F,3.1901,0.515070002,3.788624607,-1.213274597
Cc1[nH]c2ccc(C(=O)Nc3cc(C(C)(C)C)nn3-c3ncccn3)cc2c1C,4.31024,0.524623809,2.522851246,0.100267799
Cc1noc(C)c1C[C@H](C)C(=O)N[C@@H](C)C1CCCCC1,3.55504,0.880927541,3.166321591,1.238316114
CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1,0.9869,0.905427325,3.100388097,1.426748528
COc1cccc(-c2cncc3ccccc23)c1C(=O)N(C(C)C)C(C)C,5.1694,0.604640483,2.39403427,0.629168145
COc1ccc([C@@H](C)NC(=O)Cc2cccc3ccccc23)cc1,4.2683,0.731482567,2.121840892,1.535571943
O=C1C[C@H](c2nc(-c3cccnc3)no2)CN1c1cccc(Cl)c1,3.3055,0.718284169,2.688926864,0.902493981
C[C@H]1CCCN(c2ccc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc2[N+](=O)[O-])C1,3.92,0.55888779,2.616748866,0.177690084
C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1,2.60002,0.749990616,3.079857267,0.670095813
O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1nncs1,2.2271,0.397216719,2.465155881,-0.479072286
CN(CCc1ccc(F)cc1)c1cc(Br)cc(F)c1C(N)=O,3.5051,0.857208289,2.310321049,1.975720396
COc1ccccc1NC(=O)CSc1ccc(-c2ccccc2OC)nn1,3.8916,0.605620625,2.006979808,1.021123317
Cc1occc1C(=O)/C(C#N)=C\c1cccc(C(F)(F)F)c1,4.3967,0.459245476,2.477264126,-0.181036746
COc1ccc2c(c1)N(C(=O)CCSc1ccccn1)C[C@@H](C)O2,3.3865,0.763182587,2.863882363,0.952030572
CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1,3.15912,0.905928018,3.006379416,1.523260674
CCC[C@]1(C(=O)N[C@@H]2CONC2=O)CC[NH2+]C1,-1.7138,0.582060686,4.988746973,-2.078443543
O=C(c1cc2cc([N+](=O)[O-])ccc2oc1=O)N1CCN(Cc2ccccc2)CC1,2.6592,0.382616503,2.118806349,-0.205723834
CCn1c(CC2CC[NH2+]CC2)nn(CCO)c1=O,-1.4271,0.716650076,3.859960222,-0.276709842
C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1,4.5236,0.501178083,2.745497454,-0.239607039
CCO[C@H]1C(=O)O[C@H]([C@@H](O)CO)C1=O,-1.7608,0.441573894,4.085910844,-1.878041374
Cc1ccc(-c2nnc(C[NH+](CCO)[C@H]3CCc4ccccc43)o2)cc1,2.10972,0.717526248,3.930487866,-0.342856626
Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1,3.49336,0.751491743,3.745734909,0.011723806
C[C@@H](NC(=O)Nc1ccn(-c2ncccc2Cl)n1)[C@@H]1CCCO1,2.6097,0.896936847,3.296797874,1.187886361
COc1cc(S(=O)(=O)N2CCN=C2Cc2ccccc2)ccc1Cl,2.9941,0.810640522,2.343666741,1.709535869
COc1ccc(OC)c(/C=C2\Oc3cc(OC(=O)c4ccncc4)cc(C)c3C2=O)c1,4.24262,0.334645107,2.51878727,-0.845561735
COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1,4.94642,0.729271417,2.596966695,1.04939039
C[C@H](Cc1cccs1)N(C)C[C@@H]1CCCC[C@@H]1[NH3+],2.4116,0.87258224,4.054198943,0.308712257
C[C@H]([NH3+])c1nc2cc(C(F)(F)F)ccc2n1C,1.895,0.822746695,3.315049653,0.798683822
COc1cccc(CN2CCc3nnc(CCc4ccccc4)n3CC2)c1,3.1302,0.666729068,2.110015385,1.223629955
O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1,-1.7369,0.645282287,4.149956162,-0.923544727
COCC[C@H](C)C(=O)N[C@@H](C)COC,0.8101,0.676564526,2.936499204,0.446323426
Cc1cc(N(C)C)ccc1NC(=O)c1ccc(CN2CC[NH+](C)CC2)cc1,1.64362,0.851286712,2.898803897,1.357629663
C[C@H](CNC(=O)[C@H]1CC[NH2+][C@@H]1C)C[NH+]1CCCC1,-1.6108,0.576685416,5.948811613,-3.065384533
CN(C)c1ccc([C@H](CNC(=O)C(=O)Nc2ccccc2C#N)N2CC[NH+](C)CC2)cc1,0.25058,0.579668575,3.623964813,-0.725621938
CCOc1ncnc(S(=O)(=O)CC)c1N,0.2511,0.764218206,2.791968888,1.029122142
CC[C@@H](NC(=O)N(C)Cc1ccc(-c2ccccc2)cc1)c1ccncc1,5.0413,0.642431971,2.464384654,0.747775201
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@H]1CCCN1S(=O)(=O)c1ccc(F)cc1,4.4257,0.450695311,2.586244683,-0.332768128
CC[C@@H](C)CNc1nc2ccc(Cl)cc2s1,4.4077,0.837070589,2.588799239,1.596553706
Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1,2.37584,0.739081346,2.906325257,0.789081473
CCc1nnc(-c2cc3ccccc3n2CC(=O)NC(C)(C)C)o1,3.1684,0.787717875,2.421833263,1.516756112
CCc1ccc(NC(=O)c2nn(-c3ccc(CC)cc3)ccc2=O)cc1,3.6096,0.74726089,2.022570654,1.713733796
Cc1ccc(C(=O)N[C@H]2CCC[NH2+][C@H]2C)cc1F,0.97822,0.819948371,3.817035625,0.28270623
C[C@H](OC(=O)c1nc(C2CC2)n2ccccc12)c1cnc2ccccc2c1,4.6779,0.475726971,2.949809506,-0.571174651
CCCCOc1ccccc1C[C@@H]([NH3+])C(=O)[O-],-0.2316,0.687621011,3.359961797,0.078143258
CCC[C@@H]1CN(C(=O)C(=O)Nc2ccc(C)nc2Cl)CCO1,2.00942,0.684798219,2.96730436,0.456686735
C[C@H]1C(=O)N(c2ccc3c(c2)CCC3)CCN1C(=O)c1ccc(Cl)c(Cl)c1,4.3596,0.716369015,2.731354336,0.850490739
COC(=O)C1(NC(=O)[C@H]2C[C@H]2c2c(F)cccc2F)CCSCC1,2.6233,0.841265298,3.536271418,0.670055072
N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1,2.67138,0.917283254,2.19407202,2.39234425
COC1CC[NH+](CCNc2nccn(C)c2=O)CC1,-1.1141,0.74730385,3.968277149,-0.231757899
C=CCN(Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1cc(OC)ccc1Cl,4.4769,0.419976941,2.204004489,-0.104119784
Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1,2.57252,0.680287858,2.075582082,1.325857208
O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O,0.1271,0.159707354,2.703932689,-1.905395919
Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2,1.93192,0.675384645,2.845260627,0.531662598
CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1,4.6263,0.626558549,2.085945711,1.046847034
COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC,4.6231,0.661591299,3.633380403,-0.325423908
CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1,2.1995,0.74050863,2.330958353,1.371584797
O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12,4.7471,0.367228562,2.418070112,-0.581927302
CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1,4.0652,0.661483078,3.087410052,0.220005338
Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1,3.54042,0.744714109,2.860821521,0.862749024
CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1,1.6908,0.645769883,2.596313654,0.632535761
CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1,0.1005,0.707767716,4.106739123,-0.567900543
Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O,3.17722,0.816593085,3.831933766,0.251031659
CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl,2.4354,0.772831169,3.42121601,0.442939835
C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-],0.2615,0.732667034,3.27862042,0.38471475
CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1,3.0432,0.783751649,3.52716061,0.391597635
CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1,1.64112,0.860814664,4.052006376,0.252066944
O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1,3.721,0.794691339,4.110498695,-0.137042
CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C,3.83082,0.625191236,2.14746834,0.97848784
Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2,4.16022,0.520607326,3.169937846,-0.566901216
CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1,2.4946,0.816205452,2.361472531,1.719554729
Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1,2.99092,0.931306707,2.917352343,1.739181192
O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1,2.5509,0.81601442,2.362621059,1.717451041
CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1,3.2388,0.787646912,1.658552082,2.279682478
COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC,3.5179,0.709012927,2.039885434,1.505179201
CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1,2.7948,0.73090462,3.665601498,-0.011078398
CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC,3.0074,0.732177212,3.620229776,0.040656284
Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1,3.26402,0.581659,2.426998211,0.481296789
N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1,0.66448,0.899339409,3.868739992,0.627957053
O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1,1.3664,0.805600894,2.659429749,1.368574721
COc1cccc(COc2ccc(OC)cc2CCl)c1,4.0216,0.725739702,1.77478867,1.85390984
CC[C@H](NC(=O)NCc1c(C)noc1C)c1ccc(OC)cc1,3.25054,0.843359169,2.571275055,1.64552079
CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O,3.38462,0.717404006,2.602785684,0.984234346
CSc1ccc(/C=c2\sc3ncnn3c2=O)cc1,1.4206,0.670538042,2.490530811,0.862159399
COc1ccc(C(=O)/C=C(\C)Nc2ccc(F)cc2F)cc1,4.172,0.63927065,1.996713269,1.199639981
O=C(C=C1CCSCC1)N[C@@H]1CCC[C@H]1Cc1ccccc1,3.9674,0.822551221,3.454757994,0.657998111
C[C@@H](Sc1nc(/C=C/c2cccs2)n[nH]1)C(=O)N1CCOCC1,2.376,0.839031406,3.39370553,0.8014515
Cc1cccc(C(=O)N[C@@H](C(=O)N2CCC[C@@H](C)C2)C(C)C)c1,3.00792,0.918305855,2.63728129,1.954247985
COC(=O)[C@@H](C)Sc1nnc(Nc2cccc(Br)c2)s1,3.6978,0.618511644,2.696096888,0.396461332
Cc1cnc(C(=O)Nc2ccc(N(C)C3CC[NH+](C)CC3)cc2)cn1,1.15062,0.887608652,3.310010933,1.128032327
CC(=O)Nc1nc2ccc(NC(=O)NCc3ccccc3)cc2s1,3.5764,0.662075821,1.878018757,1.432360348
C=CCN1C(=O)/C(=C/c2ccccc2F)S/C1=N\S(=O)(=O)c1cccs1,3.7344,0.542446476,2.68308871,0.02914367
CC[C@H]1CC(=O)N(Cc2ccccc2C#CCCO)C1,2.179,0.855408152,2.965873927,1.311166833
COc1ccc(F)cc1C(=O)Nc1nccs1,2.5431,0.911192739,1.865948313,2.690015382
CC[C@@H](CC(=O)NC1(C(=O)OC)CCSCC1)c1ccccc1,3.1253,0.800981246,3.027424146,0.977482084
Cc1ccc(C)c(-n2c(SCCCCCO)nc3ccccc3c2=O)c1,4.25724,0.369017613,2.118305581,-0.273217516
CC[C@@H](C)[C@@H]([NH3+])c1ccc(Cl)s1,2.7306,0.780628564,4.044283491,-0.141140671
COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1,2.447,0.79907483,3.458272845,0.537101305
CC[C@@H]1CCCCN1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1,3.36,0.823101573,2.67398063,1.441527235
CCOc1cccc(NC(=O)NCc2ccc(N3CCSCC3)cc2)c1,3.9602,0.779269838,2.052870785,1.843478405
Cc1cccc(NC(=O)CN2CCN(c3ccc4c(c3)OCCO4)C2=O)n1,2.04192,0.897040869,2.388636613,2.096567732
C=C(C)C(=O)N[C@H](C)c1nc2ccccc2n1CCC(=O)N1CCCCCC1,3.5823,0.757525043,2.769866799,1.017758416
CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,2.9976,0.740130388,4.186773826,-0.486121886
CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1,3.1017,0.727601485,2.96495717,0.673050255
Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N1CC[C@H]([NH+]2CCCC2)C1,0.12132,0.473266998,3.994428373,-1.628093383
CCOCCCNC(=O)N[C@@H]1CCC[C@@H](CC)C1,2.681,0.685225607,2.854805037,0.571322998
O=C(Cc1cccc(F)c1F)Nc1cccc(Br)n1,3.3035,0.86380776,2.154492195,2.164546605
COc1ccccc1NC(=O)[C@@H]1CCCN(C(=O)Nc2cccs2)C1,3.6393,0.852565843,2.552227384,1.710601831
C[C@H]1CCC[C@](C#N)([C@]2(O)CCCCC2(C)C)C1,4.03778,0.734387437,4.221271489,-0.549334304
O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1,4.3371,0.725853331,2.971586413,0.657680242
CCCC(=O)N[C@@H]1CCC[NH+](Cc2ncccc2C)C1,0.85362,0.850648367,4.214481257,0.038760578
O=C(NCc1cccs1)C1(c2cccc(Cl)c2)CCC1,4.1396,0.868831673,2.176540897,2.167617468
C[C@H]1CCC[C@H](NC(=O)[C@@H](C)Sc2ncn[nH]2)[C@@H]1C,2.2262,0.832942645,3.597313942,0.567399283
COc1ccc([C@@H]([NH2+]Cc2ccc(Cl)nc2)c2ccc(F)cc2)cc1,3.7357,0.662921756,3.270860076,0.043748704
COc1cc(NC(=O)[C@H](C)Sc2ccccc2Cl)cc(OC)c1,4.4765,0.745687948,2.385578661,1.342861079
CCN1CCC(=NNC(=O)c2ccccc2)CC1,1.8881,0.831604555,2.03971868,2.118304095
CCCOc1ccc(Br)cc1C[NH+]1CCC([C@@H](C)O)CC1,2.4136,0.820134553,4.05715999,0.043512775
Cc1cc2n(C[C@H](O)CO[C@H](c3ccccc3)c3ccccc3C)c(=O)c3ccccc3n2n1,4.43314,0.378783852,3.294796707,-1.400877447
CCc1ncc(CN(C)C(=O)Nc2c(C)ccc([N+](=O)[O-])c2C)s1,3.89444,0.634052109,2.657179313,0.513081232
c1ccc2nc(NCCCc3nc4ccccc4[nH]3)cnc2c1,3.5508,0.540120423,2.159337097,0.541265018
Cc1c([C@H](C)[NH2+]Cc2cccn2C)cnn1C,0.89162,0.849548172,4.051689129,0.196051731
CC(=O)N[C@@H](C(=O)NC1COC1)C(C)C,-0.3379,0.696737143,2.656179385,0.82750633
O=C(Nc1ccccc1F)c1cc2ccccc2c2cccnc12,4.7794,0.51695257,1.852203793,0.732559057
Cc1ccccc1N1C(=O)/C(=C/c2cccn2-c2cccc([N+](=O)[O-])c2)C([O-])=NC1=S,3.16782,0.269289447,3.001122271,-1.654675036
COCCN1C[C@H](C(=O)N(Cc2cccc(Cl)c2)C(C)C)CC1=O,2.5719,0.755728173,2.718156155,1.06048471
COc1ccc(NC(=O)N2CCN(C(=O)Cc3csc4ccccc34)CC2)cc1OC,3.8373,0.635303051,2.185108717,0.991406538
C#CCN(C[C@H]1CCCO1)C(=O)N[C@@H](C)c1cccc([N+](=O)[O-])c1,2.4796,0.492476858,3.27884042,-0.81645613
Cc1cccc(C2=CCN(C(=O)Nc3ccc(C(N)=O)c(Cl)c3)CC2)c1,4.06852,0.823709155,2.234676276,1.883869499
COCCCN1C(=O)c2ccc(C(=O)Nc3nc(-c4ccc(C)cc4)cs3)cc2C1=O,4.00332,0.43174964,2.17729706,-0.01854886
O=S(=O)(Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccc(F)c(Cl)c1,2.8198,0.843147306,2.279642541,1.936093989
O=C1/C(=C/c2ccccc2)Oc2c1ccc1c2CN(Cc2cccs2)CO1,4.7164,0.593809278,2.634351923,0.334694467
CC[C@@H](C)[C@@H](NC(=O)c1cccc(F)c1)C(=O)N=c1[nH]c2ccccc2[nH]1,2.9071,0.640847266,3.324258225,-0.120021895
Cc1c(F)cc(N)cc1S(=O)(=O)N[C@@H](C)C1CC1,1.79312,0.826650066,2.871893947,1.261356383
Cc1ccc(Cn2ncc3c(N)ncnc32)cc1,1.76522,0.744928232,2.065722822,1.658918338
CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1,2.5773,0.788487274,2.26645533,1.67598104
CCOC(=O)c1sc(/C=C/c2nc3c(s2)CCC3)nc1C,3.74382,0.781981503,2.867685928,1.042221587
C[C@@H]1CC[C@@H]([NH2+]C2CCC(NS(C)(=O)=O)CC2)c2ccccc21,2.0488,0.887206748,4.147964232,0.288069508
CN(C)S(=O)(=O)c1ccc(C(=O)N(C(=O)N2CCCCC2)c2ccccc2)cc1,3.1896,0.757064308,2.200138426,1.585183114
CC[NH2+][C@@H](CC)c1ccccc1OCc1cccc(F)c1,3.4391,0.812182522,3.224233614,0.836678996
C=CCOC(=O)C1=C(C)N=C2S[C@H](C)C(=O)N2[C@H]1c1ccc(F)cc1,3.2035,0.601939798,3.307341535,-0.297642545
CCC[NH2+][C@]1(C(=O)OCC)CC[C@H](n2cc(Cl)c(C)n2)C1,1.84522,0.82054236,4.590596657,-0.487884857
Cc1cc(NC(=O)CSc2nnc3c4ccccc4n(C)c3n2)ccc1Br,4.31822,0.45717459,2.334315772,-0.048442822
CCOC(=O)c1sc(NC(=O)c2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cc1C,4.49304,0.43547628,2.292380204,-0.114998804
CC#CCC(=O)C1([NH+](CC)CC)CCCC1,1.2064,0.702172052,4.452669105,-0.941808845
O=C(NCCCc1ccccc1)C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3)C2)CC1,3.0271,0.675219616,2.500728337,0.875369743
O=Cc1ccc(OCc2ccn(-c3cccc(F)c3)n2)cc1,3.4029,0.66421135,2.124798598,1.196258152
Clc1ccccc1Cn1ccnc1,2.5848,0.713618692,1.867970519,1.700122941
Cc1[nH]c(=O)c(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(C)c1C,1.78916,0.912920758,2.344221805,2.220381985
C[C@@H](NC(=O)NC[C@H]1CCCN(c2ncccn2)C1)C1CCOCC1,1.8073,0.855043975,3.207719022,1.067500853
O=C(NCCS(=O)(=O)c1ccccc1)N1CCC[C@@H]2CCC[C@@H]21,2.4344,0.91800278,2.898427245,1.691586655
Cc1ccc(-c2cc(NC(=O)C(C)C)c(=O)n(CC(=O)Nc3cccc(C)c3)n2)cc1,3.76034,0.618718991,2.151516942,0.942078013
Cc1ccc(S(=O)(=O)N2CCN(C(=O)[C@H]3CCCC[C@@H]3C(=O)[O-])CC2)cc1C,0.69264,0.744373873,3.221302908,0.500566457
CCc1ccc(-c2nc(C(=O)N3CCO[C@H](CC)C3)cs2)cc1,3.6235,0.837509656,2.642730256,1.544818024
Cc1cc(C)cc(OCC(C)(C)C[NH2+]C2CC2)c1,2.43424,0.821703951,3.36439125,0.744128505
CCOC(=O)[C@H](F)[C@@]1(O)CCC[NH+](C(C)C)CC1,0.0959,0.725413116,5.186099452,-1.559033872
CCn1cc(/C=C/C(=O)c2ccc3ccccc3c2)cn1,3.9523,0.51566534,2.132036559,0.446290141
CCC(CC)C(=O)Nc1cnn(-c2ccccc2F)c1,3.3861,0.891085647,2.183117169,2.272311066
O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21,1.4495,0.731510789,2.968452947,0.689100998
COCCn1nnnc1[C@@H](C(C)C)N1CCSCC1,1.0654,0.789485904,3.232175091,0.715254429
O=C(NCCNS(=O)(=O)c1cccc(Cl)c1F)c1cccnc1,1.5824,0.775125127,2.111327033,1.764298602
Cc1ccc(CNC(=O)NCc2nnc3n2CCC3)s1,1.59362,0.906335518,2.467943382,2.063734208
C/C=C/C[C@]1(C(=O)[O-])CCN(C(=O)OC(C)(C)C)C1,1.3297,0.732036149,3.612120014,0.048060731
